Title,Release_Date,Rating,Popularity,Original_Language,Vote_Count
Spider-Man: Brand New Day,2026-07-28,8.0,1519.851,en,301
The Odyssey,2026-07-15,7.944,1166.5658,en,1859
Supergirl,2026-06-24,6.8,630.4075,en,1139
Masters of the Universe,2026-06-03,7.285,486.7027,en,1347
Disclosure Day,2026-06-10,7.407,397.2506,en,2040
Moana,2026-07-08,5.9,363.4346,en,155
Obsession,2026-05-13,8.246,372.4236,en,3945
The Death of Robin Hood,2026-06-18,6.646,309.2191,en,134
Toy Story 5,2026-06-17,7.431,295.8489,en,728
Avatar Aang: The Last Airbender,2026-07-24,9.391,303.9461,en,488
Backrooms,2026-05-27,7.08,275.4382,en,2304
Minions & Monsters,2026-06-24,6.4,267.108,en,244
Colony,2026-05-21,8.063,216.0898,ko,316
Borderline,2026-07-17,7.0,203.6838,en,6
The Debt Collector,2026-07-20,6.5,210.3026,th,23
Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18,8.407,190.4972,ja,1335
Desire,2026-05-07,6.747,170.9806,es,152
Project Hail Mary,2026-03-15,8.661,178.9053,en,6611
Kraken,2026-02-06,6.366,177.4785,no,246
Spider-Man: No Way Home,2021-12-15,7.934,238.9113,en,22366
