Title,Release_Date,Rating,Popularity
Avatar Aang: The Last Airbender,2026-07-24,9.4,303.9461
Accidental Partners,2026-03-12,8.976,28.9079
Swapped,2026-05-01,8.892,70.1201
The Shawshank Redemption,1994-09-23,8.726,93.1432
Michael,2026-04-22,8.694,115.7425
The Godfather,1972-03-14,8.686,48.8737
Project Hail Mary,2026-03-15,8.661,178.9053
The Godfather Part II,1974-12-20,8.57,36.404
Schindler's List,1993-12-15,8.57,31.4497
12 Angry Men,1957-04-10,8.566,27.2458
The Dark Knight,2008-07-16,8.534,57.0919
Spirited Away,2001-07-20,8.534,33.1784
Dilwale Dulhania Le Jayenge,1995-10-20,8.507,14.4281
The Green Mile,1999-12-10,8.506,35.6085
The Lord of the Rings: The Return of the King,2003-12-17,8.502,52.7601
Remarkably Bright Creatures,2026-05-07,8.493,31.0456
Parasite,2019-05-30,8.489,39.8954
¿Quieres ser mi hijo?,2023-09-21,8.483,12.4431
Interstellar,2014-11-05,8.483,74.7932
Pulp Fiction,1994-09-10,8.482,43.5528
